epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,429.598,1.337,0.92292,2.16003,0.95182,0.93679,0.98098,0.59714,1.31465,1.4137,2.06143,0.00295307,0.00295307,0.0617091
2,846.418,1.30802,0.73964,2.1482,0.93341,0.94331,0.97282,0.5682,1.45472,1.26248,2.18874,0.00571344,0.00571344,0.0232035
3,1257.71,1.28749,0.71595,2.14763,0.95433,0.95334,0.97579,0.59851,1.30394,1.57,2.10046,0.00668909,0.00668909,0.00668909
4,1669.33,1.25449,0.67573,2.12974,0.96971,0.97435,0.98988,0.64389,1.21271,1.51608,2.02087,0.00645364,0.00645364,0.00645364
5,2082.74,1.22002,0.63931,2.10271,0.9608,0.97334,0.98722,0.64163,1.20156,1.46015,2.01871,0.00621818,0.00621818,0.00621818
6,2500.3,1.19592,0.61845,2.08884,0.97882,0.98312,0.99019,0.65323,1.18539,1.50754,2.00341,0.00598273,0.00598273,0.00598273
7,2917.26,1.18414,0.60155,2.08449,0.97439,0.98542,0.98772,0.65093,1.17618,1.4974,2.00195,0.00574727,0.00574727,0.00574727
8,3333.89,1.17013,0.58631,2.07622,0.9781,0.98847,0.98802,0.65789,1.15291,1.5196,1.98862,0.00551182,0.00551182,0.00551182
9,3750.41,1.15842,0.57575,2.07399,0.97716,0.98971,0.99196,0.66148,1.15152,1.34409,1.99199,0.00527637,0.00527637,0.00527637
10,4166.81,1.14713,0.56646,2.06241,0.97331,0.98542,0.99036,0.66705,1.14186,1.29514,1.98826,0.00504091,0.00504091,0.00504091
11,4583.62,1.14262,0.56066,2.06177,0.9838,0.98611,0.99231,0.67035,1.12626,1.1355,1.97721,0.00480546,0.00480546,0.00480546
12,5000.29,1.13182,0.55059,2.05677,0.9862,0.98657,0.99284,0.66933,1.1317,1.08069,1.98329,0.00457,0.00457,0.00457
13,5417.69,1.12316,0.54258,2.04822,0.98056,0.98648,0.9907,0.67066,1.13168,1.44497,1.97868,0.00433455,0.00433455,0.00433455
14,5834.83,1.11078,0.53225,2.04028,0.9817,0.98915,0.99186,0.67403,1.11869,1.30139,1.97264,0.0040991,0.0040991,0.0040991
15,6251.69,1.11093,0.52874,2.04386,0.98357,0.99014,0.99212,0.67455,1.11718,1.31067,1.96911,0.00386364,0.00386364,0.00386364
16,6668.14,1.09976,0.51979,2.03721,0.98184,0.98748,0.99124,0.67392,1.11286,1.29199,1.97194,0.00362819,0.00362819,0.00362819
17,7084.14,1.09089,0.51361,2.03062,0.98436,0.98766,0.9923,0.67542,1.1111,1.27226,1.96708,0.00339273,0.00339273,0.00339273
18,7500.9,1.09414,0.51052,2.03517,0.98606,0.98791,0.99243,0.67746,1.10738,1.2187,1.96754,0.00315728,0.00315728,0.00315728
19,7917.02,1.08907,0.50721,2.02619,0.9839,0.98894,0.99148,0.67543,1.10846,1.33071,1.96843,0.00292182,0.00292182,0.00292182
20,8334.44,1.07953,0.50057,2.02202,0.98633,0.99015,0.99269,0.67627,1.1044,1.18841,1.96277,0.00268637,0.00268637,0.00268637
21,8755.13,1.06393,0.47801,2.03462,0.98598,0.98933,0.99207,0.67769,1.10601,1.33819,1.96442,0.00245092,0.00245092,0.00245092
22,9168.35,1.05533,0.47399,2.0324,0.98505,0.98891,0.99253,0.67911,1.10633,1.20109,1.96612,0.00221546,0.00221546,0.00221546
23,9580.87,1.04767,0.46727,2.0272,0.98553,0.9873,0.99216,0.67909,1.10556,1.2573,1.96322,0.00198001,0.00198001,0.00198001
24,9996.83,1.04221,0.46182,2.02452,0.98465,0.98791,0.99197,0.6786,1.1035,1.27466,1.9638,0.00174455,0.00174455,0.00174455
25,10412.6,1.03235,0.45451,2.02196,0.98457,0.98671,0.99205,0.67836,1.10698,1.26697,1.96774,0.0015091,0.0015091,0.0015091
26,10829.2,1.02784,0.44745,2.01967,0.98385,0.98732,0.99241,0.68101,1.10451,1.2061,1.96655,0.00127364,0.00127364,0.00127364
27,11242.4,1.01813,0.44034,2.01407,0.98617,0.98696,0.99264,0.68292,1.10335,1.14268,1.96532,0.00103819,0.00103819,0.00103819
28,11653.5,1.00863,0.43357,2.00731,0.98707,0.98593,0.99264,0.68193,1.10438,1.12467,1.96648,0.000802736,0.000802736,0.000802736
29,12064.2,1.00267,0.42758,2.00427,0.98669,0.98577,0.99265,0.68086,1.10525,1.13521,1.9671,0.000567282,0.000567282,0.000567282
30,12474.6,0.99448,0.41915,2.00025,0.98661,0.98578,0.99276,0.68112,1.1057,1.13733,1.96767,0.000331828,0.000331828,0.000331828
