epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.519,1.99431,1.37787,1.55153,0.9982,1,0.995,0.5115,0.81364,0.31805,0.60373,0.00056,0.00056,0.00056
2,454.125,0.89735,0.54773,0.93047,0.99801,1,0.995,0.66265,0.63286,0.26613,0.52041,0.00106476,0.00106476,0.00106476
3,641.864,0.65219,0.38952,0.86858,0.99853,1,0.995,0.86383,0.33444,0.20362,0.43544,0.00149296,0.00149296,0.00149296
4,740.517,0.55526,0.36005,0.84018,0.9984,1,0.995,0.87515,0.276,0.17734,0.42332,0.001604,0.001604,0.001604
5,858.293,0.51486,0.33827,0.84097,0.99878,1,0.995,0.91652,0.22604,0.16731,0.4131,0.001472,0.001472,0.001472
6,976.895,0.41685,0.30288,0.80825,1,0.97191,0.99407,0.83129,0.30853,0.23609,0.43336,0.00134,0.00134,0.00134
7,1086.59,0.39703,0.28222,0.78569,0.99865,1,0.995,0.89489,0.22622,0.14235,0.41505,0.001208,0.001208,0.001208
8,1219.57,0.38234,0.27155,0.80961,0.99857,1,0.995,0.91493,0.20742,0.13273,0.40772,0.001076,0.001076,0.001076
9,1345.11,0.34789,0.25136,0.77111,0.99867,1,0.995,0.92652,0.18569,0.12226,0.40394,0.000944,0.000944,0.000944
10,1447.34,0.36713,0.25779,0.80809,0.99865,1,0.995,0.93863,0.16643,0.11554,0.40042,0.000812,0.000812,0.000812
11,1575.89,0.33426,0.24484,0.79468,0.99864,1,0.995,0.93206,0.18481,0.1199,0.40051,0.00068,0.00068,0.00068
12,1674.89,0.31649,0.22202,0.79748,0.99865,1,0.995,0.93589,0.1791,0.11955,0.39865,0.000548,0.000548,0.000548
13,1775.05,0.30317,0.21288,0.7959,0.99865,1,0.995,0.95715,0.1523,0.1086,0.39835,0.000416,0.000416,0.000416
14,1886.89,0.29955,0.21018,0.7976,0.99867,1,0.995,0.95784,0.15598,0.10936,0.39759,0.000284,0.000284,0.000284
15,1995.9,0.26404,0.19282,0.75336,0.99867,1,0.995,0.95849,0.15793,0.10457,0.39825,0.000152,0.000152,0.000152
