frame_index,timestamp,tracker_frame_present,result_present,reliability_state,overall_quality_score,gate_passed,transition_reason,tracker_update_latency_ms
0,0.0,True,True,HOLD,0.6361588140328726,False,TRACKER_RESULT_AVAILABLE,2000.6653000600636
1,0.05,True,True,HOLD,0.8269569132440836,True,STATE_MAINTAINED,10.027599986642599
2,0.1,True,True,HOLD,0.8286448298839655,True,STATE_MAINTAINED,9.769099997356534
3,0.15,True,True,HOLD,0.8311407468555918,True,STATE_MAINTAINED,9.187399875372648
4,0.2,True,True,HOLD,0.8312400870755093,True,STATE_MAINTAINED,9.376300033181906
5,0.25,True,True,HOLD,0.8323688297884342,True,STATE_MAINTAINED,9.529500035569072
6,0.3,True,True,HOLD,0.832987170467814,True,STATE_MAINTAINED,9.510800009593368
7,0.35,True,True,HOLD,0.8314036631920487,True,STATE_MAINTAINED,10.748900007456541
8,0.4,True,True,HOLD,0.8368782538874474,True,STATE_MAINTAINED,8.787699975073338
9,0.45,True,True,HOLD,0.8383521706440575,True,STATE_MAINTAINED,8.614799939095974
10,0.5,True,True,STABLE,0.8355490874297695,True,STABLE_ENTRY_READY,10.152699891477823
11,0.55,True,True,STABLE,0.8355073293790024,True,STATE_MAINTAINED,10.774100199341774
12,0.6,True,True,STABLE,0.8400914968265644,True,STATE_MAINTAINED,9.357099886983633
13,0.65,True,True,STABLE,0.843527527169014,True,STATE_MAINTAINED,8.853300008922815
14,0.7,True,True,STABLE,0.8432980037248162,True,STATE_MAINTAINED,8.719800040125847
15,0.75,True,True,STABLE,0.8445508605800569,True,STATE_MAINTAINED,9.277299977838993
16,0.8,True,True,STABLE,0.8438089132738412,True,STATE_MAINTAINED,9.536799974739552
17,0.85,True,True,STABLE,0.8471971935437371,True,STATE_MAINTAINED,9.052100125700235
18,0.9,True,True,STABLE,0.8462667465484193,True,STATE_MAINTAINED,9.386999998241663
19,0.95,True,True,STABLE,0.8502950276170547,True,STATE_MAINTAINED,8.64629982970655
20,1.0,True,True,STABLE,0.8497368296727341,True,STATE_MAINTAINED,8.832300081849098
21,1.05,True,True,STABLE,0.8466814965051092,True,STATE_MAINTAINED,9.221100015565753
22,1.1,True,True,STABLE,0.8449741631244423,True,STATE_MAINTAINED,9.070700034499168
23,1.15,True,True,STABLE,0.8425802537892413,True,STATE_MAINTAINED,9.006900014355779
24,1.2,True,True,STABLE,0.8417467463337308,True,STATE_MAINTAINED,8.695000084117055
25,1.25,True,True,STABLE,0.8378790877092408,True,STATE_MAINTAINED,9.220699779689312
26,1.3,True,True,STABLE,0.837733943744873,True,STATE_MAINTAINED,9.087400045245886
27,1.35,True,True,STABLE,0.8361591102089733,True,STATE_MAINTAINED,8.88400012627244
28,1.4,True,True,STABLE,0.8327951632403882,True,STATE_MAINTAINED,8.942299988120794
29,1.45,True,True,STABLE,0.8306512540625808,True,STATE_MAINTAINED,8.778499905019999
30,1.5,True,True,STABLE,0.8220226130943814,True,STATE_MAINTAINED,74.53710003755987
31,1.55,True,True,STABLE,0.945484892282054,True,STATE_MAINTAINED,9.820100152865052
32,1.6,True,True,STABLE,0.9407026352479857,True,STATE_MAINTAINED,9.837700054049492
33,1.65,True,True,STABLE,0.9359295520274392,True,STATE_MAINTAINED,9.663600008934736
34,1.7,True,True,STABLE,0.9319699685984404,True,STATE_MAINTAINED,9.164100047200918
35,1.75,True,True,STABLE,0.9230373091716719,True,STATE_MAINTAINED,10.465800063684583
36,1.8,True,True,STABLE,0.9193809760145001,True,STATE_MAINTAINED,9.844999993219972
37,1.85,True,True,STABLE,0.915282968660921,True,STATE_MAINTAINED,9.58890002220869
38,1.9,True,True,STABLE,0.9107588855901536,True,STATE_MAINTAINED,9.315199917182326
39,1.95,True,True,STABLE,0.9054393022828228,True,STATE_MAINTAINED,9.359699906781316
40,2.0,True,True,STABLE,0.9000916422143357,True,STATE_MAINTAINED,9.227400179952383
41,2.05,True,True,STABLE,0.8936377714781317,True,STATE_MAINTAINED,9.459699969738722
42,2.1,True,True,STABLE,0.886821226227758,True,STATE_MAINTAINED,10.368899907916784
43,2.15,True,True,STABLE,0.8841523324760298,True,STATE_MAINTAINED,9.99510008841753
44,2.2,True,True,STABLE,0.8787588091520993,True,STATE_MAINTAINED,9.427200071513653
45,2.25,True,True,STABLE,0.874576301737172,True,STATE_MAINTAINED,9.204900125041604
46,2.3,True,True,STABLE,0.8685249498572775,True,STATE_MAINTAINED,8.980999933555722
47,2.35,True,True,STABLE,0.8611115213643986,True,STATE_MAINTAINED,9.970200015231967
48,2.4,True,True,STABLE,0.8575402260867037,True,STATE_MAINTAINED,9.581299964338541
49,2.45,True,True,STABLE,0.8519389686371313,True,STATE_MAINTAINED,9.926500031724572
50,2.5,True,True,STABLE,0.8482128852398869,True,STATE_MAINTAINED,9.333600057289004
51,2.55,True,True,STABLE,0.8442422832665919,True,STATE_MAINTAINED,9.527399903163314
52,2.6,True,True,STABLE,0.8433311429837498,True,STATE_MAINTAINED,9.43159987218678
53,2.65,True,True,STABLE,0.8421343853816192,True,STATE_MAINTAINED,9.265000000596046
54,2.7,True,True,STABLE,0.8393382256028331,True,STATE_MAINTAINED,9.362100157886744
55,2.75,True,True,STABLE,0.8367991425826924,True,STATE_MAINTAINED,9.544400032609701
56,2.8,True,True,STABLE,0.8334273093333867,True,STATE_MAINTAINED,10.059799998998642
57,2.85,True,True,STABLE,0.8322895330680488,True,STATE_MAINTAINED,9.308499982580543
58,2.9,True,True,STABLE,0.830783392911196,True,STATE_MAINTAINED,9.450699901208282
59,2.95,True,True,STABLE,0.8245298658180314,True,STATE_MAINTAINED,10.745700215920806
60,3.0,True,True,STABLE,0.8264941527227934,True,STATE_MAINTAINED,77.38889986649156
61,3.05,True,True,STABLE,0.9499226644899474,True,STATE_MAINTAINED,8.6302999407053
62,3.1,True,True,STABLE,0.9421730807237727,True,STATE_MAINTAINED,9.646800113841891
63,3.15,True,True,STABLE,0.93749799766737,True,STATE_MAINTAINED,9.43350000306964
64,3.2,True,True,STABLE,0.934265913957149,True,STATE_MAINTAINED,8.643000153824687
65,3.25,True,True,STABLE,0.9298098308220906,True,STATE_MAINTAINED,8.342100074514747
66,3.3,True,True,STABLE,0.9228759977377109,True,STATE_MAINTAINED,9.032299974933267
67,3.35,True,True,STABLE,0.9177062406634093,True,STATE_MAINTAINED,9.20489989221096
68,3.4,True,True,STABLE,0.913672330994199,True,STATE_MAINTAINED,8.547100005671382
69,3.45,True,True,STABLE,0.9091654971816666,True,STATE_MAINTAINED,8.266500197350979
70,3.5,True,True,STABLE,0.9034411639937909,True,STATE_MAINTAINED,8.472900139167905
71,3.55,True,True,STABLE,0.8958763307612789,True,STATE_MAINTAINED,9.415500098839402
72,3.6,True,True,STABLE,0.8899927472339101,True,STATE_MAINTAINED,9.68560017645359
73,3.65,True,True,STABLE,0.8881492407490612,True,STATE_MAINTAINED,8.52769985795021
74,3.7,True,True,STABLE,0.881208831067237,True,STATE_MAINTAINED,9.032499976456165
75,3.75,True,True,STABLE,0.8756372475872837,True,STATE_MAINTAINED,9.177800035104156
76,3.8,True,True,STABLE,0.8716919145578297,True,STATE_MAINTAINED,8.672599913552403
77,3.85,True,True,STABLE,0.866440080893266,True,STATE_MAINTAINED,8.690000046044588
78,3.9,True,True,STABLE,0.8607858045097394,True,STATE_MAINTAINED,8.495300076901913
79,3.95,True,True,STABLE,0.8554804141664656,True,STATE_MAINTAINED,8.907200070098042
80,4.0,True,True,STABLE,0.8508730813349066,True,STATE_MAINTAINED,8.666799869388342
81,4.05,True,True,STABLE,0.849321323940014,True,STATE_MAINTAINED,8.642199914902449
82,4.1,True,True,STABLE,0.8476959140537086,True,STATE_MAINTAINED,8.271000115200877
83,4.15,True,True,STABLE,0.8453518307721641,True,STATE_MAINTAINED,8.375300094485283
84,4.2,True,True,STABLE,0.8419103047182737,True,STATE_MAINTAINED,8.545499993488193
85,4.25,True,True,STABLE,0.838472471548488,True,STATE_MAINTAINED,9.087299928069115
86,4.3,True,True,STABLE,0.8375351376281384,True,STATE_MAINTAINED,8.628900162875652
